bla,x,y,z
398,230,29,0
399,230,108,0
400,230,119,0
401,235,19,0
402,235,30,0
403,235,119,0
404,236,107,0
405,240,20,0
406,240,32,0
407,240,118,0
408,241,106,0
409,245,22,0
410,245,34,0
411,245,117,0
412,246,103,0
413,248,38,0
414,249,98,0
415,250,24,0
416,250,115,0
417,251,43,0
418,252,93,0
419,254,48,0
420,254,88,0
421,254,112,0
422,255,28,0
423,256,53,0
424,256,83,0
425,257,58,0
426,257,63,0
427,257,68,0
428,257,73,0
429,257,78,0
430,257,108,0
431,258,33,0
432,260,103,0
433,261,38,0
434,263,98,0
435,264,43,0
436,264,93,0
437,266,48,0
438,266,88,0
439,267,53,0
440,267,83,0
441,268,58,0
442,268,63,0
443,268,68,0
444,268,73,0
445,268,78,0
